day,A,ABC,ABMD,ABT
18/12/2018,67.98999786,76.23999786,304.7999878,70.08000183
19/12/2018,66.83000183,76.30999756,296.1400146,69
20/12/2018,65.19000244,73.22000122,284.2799988,68.37999725
21/12/2018,63.29000092,71.98000336,290.2900085,67.26999664
24/12/2018,62.66999817,70.76000214,281.0799866,65.55999756
26/12/2018,65.54000092,73.04000092,307.4400024,69.62000275
27/12/2018,66.48000336,73.52999878,315.6700134,70.62999725
28/12/2018,65.95999908,73.95999908,318.1700134,71.08999634
31/12/2018,67.45999908,74.40000153,325.0400085,72.33000183
02/01/2019,65.69000244,74.44999695,309.9599915,69.5
03/01/2019,63.27000046,73.37000275,302.2900085,66.22000122
04/01/2019,65.45999908,74.22000122,313.4400024,68.11000061
07/01/2019,66.84999847,74.75,314.7999878,69.12999725
08/01/2019,67.83000183,75.55000305,318.4200134,68.30000305
09/01/2019,69.25,76.31999969,336.3999939,69.44000244
10/01/2019,69.90000153,76,335.1300049,69.08000183
11/01/2019,70.37999725,76.55999756,323.7999878,69.33000183
14/01/2019,69.75,76.86000061,315.25,68.26999664
15/01/2019,70.59999847,77.26000214,325.6099854,70.47000122
16/01/2019,70.02999878,77.30000305,324.1300049,69.81999969
17/01/2019,70.81999969,76.08000183,330.3200073,70.51999664
18/01/2019,71.93000031,79.86000061,333.7399902,71.41999817
22/01/2019,71.31999969,79.70999908,336.1300049,71.48999786
23/01/2019,71.65000153,79.36000061,336.980011,69.91000366
24/01/2019,72.18000031,78.69999695,348.5,70.86000061
25/01/2019,73.65000153,79.66000366,349.3699951,71.15000153
28/01/2019,73.26999664,80.12000275,336.8999939,69.05000305
29/01/2019,73.55999756,79.54000092,330.3800049,69.69000244
30/01/2019,75.44000244,78.52999878,339.5899963,71.68000031
31/01/2019,76.05000305,83.37000275,351.0700073,72.98000336
01/02/2019,76.04000092,83.76000214,351.0799866,72.36000061
04/02/2019,76.02999878,84.44999695,330.4100037,72.5
05/02/2019,76.30999756,85.76999664,344.2799988,73.11000061
06/02/2019,76.30000305,86.63999939,344.7799988,73.48999786
07/02/2019,75.33000183,85.80000305,341.6099854,72.73999786
08/02/2019,75.80000305,84.30999756,341.2099915,73.33000183
11/02/2019,76.08000183,83.63999939,354.9200134,73.54000092
12/02/2019,77.06999969,85.79000092,358.0799866,75.05999756
13/02/2019,77.25,86.41000366,361.5,74.37999725
14/02/2019,77.01999664,86.44999695,357.8200073,73.97000122
15/02/2019,78.30000305,86.66000366,362.0599976,75.25
19/02/2019,77.51999664,86.84999847,359.3699951,75
20/02/2019,78.55999756,86.33000183,362.25,75.54000092
21/02/2019,77.88999939,84.98000336,358.3599854,75.13999939
22/02/2019,78.41999817,85.66999817,352.6000061,76.12999725
25/02/2019,79.33999634,84.66999817,352.8900146,76.86000061
26/02/2019,78.55000305,83.91999817,342.8699951,76.75
27/02/2019,79.41999817,82.79000092,336.1700134,77.23000336
28/02/2019,79.44000244,83.30000305,334.5,77.62000275
01/03/2019,81.23999786,82.98000336,348.0599976,78.58999634
04/03/2019,80.12999725,80.48000336,338.2000122,78.62000275
05/03/2019,79.73999786,79.66000366,333.2099915,78.22000122
06/03/2019,78.75,76.62999725,317.8500061,77.69999695
07/03/2019,78.73000336,76.33000183,317.4200134,76.80000305
08/03/2019,77.98000336,76.41000366,314.2099915,76.62999725
11/03/2019,79.30000305,77.94999695,319.2000122,77.80999756
12/03/2019,79.93000031,78.41999817,323.7600098,78.23999786
13/03/2019,80.12999725,79.79000092,325.6300049,78.62000275
14/03/2019,80.61000061,79.51000214,325.6099854,78.98000336
15/03/2019,81.09999847,80.18000031,333.230011,79.86000061
18/03/2019,80.97000122,80.38999939,333.25,78.83000183
19/03/2019,81.19999695,81.06999969,339.3599854,79.95999908
20/03/2019,80.91999817,79.26999664,339.6600037,79.94000244
21/03/2019,82,80.36000061,337.4299927,80.05999756
22/03/2019,78.98999786,78.76999664,323.2099915,77.97000122
25/03/2019,79.51999664,77.09999847,313.2200012,78.23000336
26/03/2019,80.65000153,76.55999756,286,79
27/03/2019,79,76.5,276.3900146,78.73000336
28/03/2019,79.69999695,77.88999939,283.8999939,79.44000244
29/03/2019,80.37999725,79.51999664,285.5899963,79.94000244
01/04/2019,81.55999756,79.08999634,277.7600098,79.66000366
02/04/2019,81.13999939,74.48999786,284.2000122,79.62000275
03/04/2019,81.94000244,75.05000305,284.9400024,79.5
04/04/2019,80.83000183,75.97000122,282.8699951,78.62000275
05/04/2019,81.47000122,77.26999664,284.9100037,79
08/04/2019,81.69000244,78.12000275,282.9500122,78.51999664
09/04/2019,81.41999817,77.43000031,281.6499939,78.66999817
10/04/2019,81.68000031,74,280.5400085,78.97000122
11/04/2019,81.08000183,74.18000031,271.8900146,78.51000214
12/04/2019,80.98000336,74.73999786,270.0799866,78.01000214
15/04/2019,80.40000153,76.11000061,272.2999878,77.5
16/04/2019,77.55000305,75.34999847,265.9500122,76.37999725
17/04/2019,75.43000031,72.30000305,251.4900055,72.87999725
18/04/2019,76.16999817,72.44999695,256.5599976,73.91999817
22/04/2019,75.56999969,71.05999756,260.9299927,74.51000214
23/04/2019,75.55999756,73.43000031,262.1799927,76.09999847
24/04/2019,75.79000092,74.08999634,270.8299866,76.75
25/04/2019,76.72000122,73.72000122,268.1300049,78.11000061
26/04/2019,77.41999817,74.05000305,274.9100037,78.55999756
29/04/2019,77.33000183,74.51000214,274,78.26999664
30/04/2019,78.5,74.76000214,277.4100037,79.55999756
01/05/2019,77.47000122,73.38999939,277.0700073,78.73999786
02/05/2019,78.19999695,77.05999756,264.769989,78.77999878
03/05/2019,79.29000092,79.13999939,271.75,78.69000244
06/05/2019,79.34999847,78.30999756,268.9500122,79.06999969
07/05/2019,76.66999817,77.45999908,261.980011,76.91000366
08/05/2019,76.61000061,78.72000122,260.269989,76.22000122
09/05/2019,77,79.18000031,261.9400024,76.41999817
10/05/2019,77.09999847,77.47000122,258.9200134,76.44999695
13/05/2019,73.83999634,75.68000031,252.3699951,75.5
14/05/2019,76.01000214,76.69000244,256.6900024,76.02999878
15/05/2019,67.63999939,77.86000061,259.6799927,76.51000214
16/05/2019,69.30000305,77.58999634,262.1400146,76.59999847
17/05/2019,69.11000061,77.73000336,260.480011,75.97000122
20/05/2019,68.93000031,79.23000336,252.5800018,75.76999664
21/05/2019,68.31999969,80.56999969,260.3399963,76.02999878
22/05/2019,67.97000122,81.80000305,265.480011,76.26000214
23/05/2019,67.69999695,80.44000244,262.6400146,75.62999725
24/05/2019,68.36000061,80.68000031,270.3900146,76.98000336
28/05/2019,67.08000183,80.88999939,269.3999939,75.70999908
29/05/2019,67.30000305,78.34999847,260.3699951,75.66999817
30/05/2019,66.88999939,78.31999969,266.3900146,76.51999664
